country,region,continent,bri_country,bri_member_income_group,total_cases,total_deaths,total_recovered,total_tests,active_cases,serious_critical,cases_over_1_m,deaths_over_1_m,tests_over_1_m,life_expectancy_index_2019,happiness_index_2019,corruption_perception_index_2019,democracy_index_2019,economic_freedom_index_2019,press_freedom_index_2019
Ukraine,Eastern Europe,Europe,bri_member,Lower middle income,3372.0,98.0,119.0,35153.0,3155.0,45.0,77.0,2.0,804.0,72.5,43.32,30.0,59.0,52.3,67.53999999999999
Luxembourg,Western Europe,Europe,bri_member,High income,3292.0,69.0,500.0,29315.0,2723.0,30.0,5259.0,110.0,46831.0,82.79,70.9,80.0,88.10000000000002,75.9,84.34
Dominican Republic,Caribbean,Latin America and Caribbean,non_member,,3286.0,183.0,162.0,9275.0,2941.0,143.0,303.0,17.0,855.0,74.65,54.25,28.0,65.4,61.0,72.1
Belarus,Eastern Europe,Europe,bri_member,Upper middle income,3281.0,33.0,203.0,71875.0,3045.0,57.0,347.0,3.0,7606.0,75.2,53.23,45.0,24.8,57.9,48.34
Singapore,South-Eastern Asia,Asia,bri_member,High income,3252.0,10.0,611.0,72680.0,2631.0,29.0,556.0,2.0,12423.0,84.07,62.620000000000005,85.0,60.2,89.4,48.59
Finland,Northern Europe,Europe,non_member,,3161.0,64.0,300.0,47290.0,2797.0,74.0,571.0,12.0,8535.0,82.48,77.69,86.0,92.5,74.9,92.1
Colombia,South America,Latin America and Caribbean,non_member,,2852.0,112.0,319.0,43053.0,2421.0,106.0,56.0,2.0,846.0,77.87,61.25,37.0,71.3,67.3,57.18
Thailand,South-Eastern Asia,Asia,bri_member,Upper middle income,2613.0,41.0,1405.0,100498.0,1167.0,61.0,37.0,0.6,1440.0,77.74,60.07999999999999,36.0,63.2,68.3,55.9
South Africa,Southern Africa,Africa,bri_member,Upper middle income,2415.0,27.0,410.0,87022.0,1978.0,7.0,41.0,0.5,1467.0,64.88,47.22,44.0,72.4,58.3,77.81
Argentina,South America,Latin America and Caribbean,non_member,,2277.0,101.0,559.0,22805.0,1617.0,83.0,50.0,2.0,505.0,77.17,60.86,45.0,70.19999999999999,52.2,71.7
Egypt,Northern Africa,Africa,bri_member,Lower middle income,2190.0,164.0,589.0,25000.0,1437.0,83.0,21.0,2.0,244.0,72.54,41.660000000000004,35.0,30.6,52.5,43.53
Greece,Southern Europe,Europe,bri_member,High income,2145.0,99.0,269.0,43417.0,1777.0,73.0,206.0,9.0,4165.0,82.8,52.870000000000005,48.0,74.3,57.7,70.92
Algeria,Northern Africa,Africa,bri_member,Upper middle income,1983.0,313.0,601.0,3359.0,1069.0,60.0,45.0,7.0,77.0,77.5,52.11,35.0,40.1,46.2,54.25
Moldova,Eastern Europe,Europe,bri_member,Lower middle income,1934.0,36.0,134.0,6271.0,1764.0,80.0,479.0,9.0,1555.0,72.3,55.29,32.0,57.5,59.1,68.78999999999999
Morocco,Northern Africa,Africa,bri_member,Lower middle income,1838.0,126.0,210.0,9609.0,1502.0,1.0,50.0,3.0,260.0,77.43,52.07999999999999,41.0,51.0,62.9,56.02
Iceland,Northern Europe,Europe,non_member,,1720.0,8.0,989.0,36339.0,723.0,8.0,5040.0,23.0,106490.0,83.52,74.94,78.0,95.8,77.1,85.28999999999998
Croatia,Southern Europe,Europe,bri_member,High income,1704.0,31.0,415.0,18359.0,1258.0,34.0,415.0,8.0,4472.0,79.02,54.32000000000001,47.0,65.7,61.4,70.97
Bahrain,Western Asian,Asia,bri_member,High income,1522.0,7.0,645.0,69359.0,870.0,3.0,894.0,4.0,40762.0,77.73,61.989999999999995,42.0,25.5,66.4,38.69
Hungary,Eastern Europe,Europe,bri_member,High income,1512.0,122.0,122.0,35825.0,1268.0,58.0,157.0,13.0,3708.0,77.31,57.57999999999999,44.0,66.3,65.0,69.56
Iraq,Western Asian,Asia,bri_member,Upper middle income,1378.0,78.0,717.0,37791.0,583.0,58.0,34.0,2.0,940.0,71.08,44.370000000000005,20.0,37.40000000000001,,47.4
Estonia,Northern Europe,Europe,bri_member,High income,1373.0,31.0,115.0,32263.0,1227.0,11.0,1035.0,23.0,24321.0,79.18,58.93,74.0,79.0,76.6,87.73
New Zealand,Australia & New Zealand,Oceania,bri_member,High income,1366.0,9.0,628.0,64399.0,729.0,4.0,283.0,2.0,13355.0,82.8,73.07000000000001,87.0,92.6,84.4,89.25
Kuwait,Western Asian,Asia,bri_member,High income,1355.0,3.0,176.0,unknown,1176.0,26.0,317.0,0.7,unknown,75.85,60.11,40.0,39.3,60.8,66.14
Slovenia,Southern Europe,Europe,bri_member,High income,1220.0,56.0,152.0,35946.0,1012.0,35.0,587.0,27.0,17291.0,81.85,61.17999999999999,60.0,75.0,65.5,77.69
Kazakhstan,Central Asia,Asia,bri_member,Upper middle income,1202.0,14.0,203.0,76904.0,985.0,21.0,64.0,0.7,4096.0,73.9,58.09,34.0,29.4,65.4,47.18
Azerbaijan,Western Asian,Asia,bri_member,Upper middle income,1197.0,13.0,351.0,66677.0,833.0,25.0,118.0,1.0,6576.0,73.33,52.07999999999999,30.0,27.5,65.4,40.87
Uzbekistan,Central Asia,Asia,bri_member,Lower middle income,1113.0,4.0,99.0,70000.0,1010.0,8.0,33.0,0.1,2091.0,72.04,61.739999999999995,25.0,20.1,53.3,46.48
Bosnia and Herzegovina,Southern Europe,Europe,bri_member,Upper middle income,1083.0,40.0,236.0,12407.0,807.0,4.0,330.0,12.0,3782.0,77.93,53.86,36.0,48.6,61.9,70.98
Lithuania,Northern Europe,Europe,bri_member,High income,1070.0,26.0,101.0,42690.0,943.0,14.0,393.0,10.0,15682.0,76.41,61.49,60.0,75.0,74.2,77.94
Armenia,Western Asian,Asia,bri_member,Upper middle income,1067.0,16.0,265.0,8316.0,786.0,30.0,360.0,5.0,2806.0,75.55,45.59,42.0,55.4,67.7,71.02
Hong Kong,Eastern Asia,Asia,non_member,,1013.0,4.0,434.0,96709.0,575.0,13.0,135.0,0.5,12900.0,85.29,54.3,76.0,60.2,90.2,70.35
Bangladesh,Southern Asia,Asia,bri_member,Lower middle income,1012.0,46.0,42.0,13128.0,924.0,1.0,6.0,0.3,80.0,73.57,44.56,26.0,58.8,55.6,49.26
North Macedonia,Southern Europe,Europe,bri_member,Upper middle income,908.0,44.0,86.0,9262.0,778.0,15.0,436.0,21.0,4446.0,76.26,52.74,35.0,59.7,71.1,68.34
Cameroon,Middle Africa,Africa,bri_member,Lower middle income,848.0,14.0,130.0,unknown,704.0,15.0,32.0,0.5,unknown,60.32,50.44,25.0,28.5,52.4,56.68
Slovakia,Eastern Europe,Europe,non_member,,835.0,2.0,113.0,30052.0,720.0,5.0,153.0,0.4,5504.0,78.0,61.98,50.0,71.7,65.0,76.42
Oman,Western Asian,Asia,bri_member,High income,813.0,4.0,130.0,unknown,679.0,3.0,159.0,0.8,unknown,78.58,,52.0,30.6,61.0,56.58
Tunisia,Northern Africa,Africa,bri_member,Lower middle income,726.0,34.0,43.0,11825.0,649.0,89.0,61.0,3.0,1001.0,77.36,44.61,43.0,67.2,55.4,70.39
Cuba,Caribbean,Latin America and Caribbean,bri_member,Upper middle income,726.0,21.0,121.0,17133.0,584.0,11.0,64.0,2.0,1513.0,79.18,,48.0,28.4,27.8,36.19
Afghanistan,Southern Asia,Asia,bri_member,Low income,714.0,23.0,40.0,unknown,651.0,11.0,18.0,0.6,unknown,65.98,32.03,16.0,28.5,51.5,63.45
Bulgaria,Eastern Europe,Europe,bri_member,Upper middle income,713.0,35.0,81.0,18502.0,597.0,29.0,103.0,5.0,2663.0,75.49,50.11,43.0,70.3,69.0,64.89
Cyprus,Western Asian,Asia,bri_member,High income,662.0,12.0,65.0,17923.0,585.0,8.0,548.0,10.0,14845.0,81.51,60.46,58.0,75.9,68.1,78.26
Latvia,Northern Europe,Europe,bri_member,High income,657.0,5.0,16.0,29018.0,636.0,3.0,348.0,3.0,15384.0,75.73,59.400000000000006,56.0,74.9,70.4,80.47
Andorra,Southern Europe,Europe,non_member,,646.0,29.0,128.0,1673.0,489.0,17.0,8361.0,375.0,21653.0,,,,,,75.37
Lebanon,Western Asian,Asia,bri_member,Upper middle income,641.0,21.0,80.0,16319.0,540.0,33.0,94.0,3.0,2391.0,79.27,51.97,28.0,43.6,51.1,67.56
Ivory Coast,Western Africa,Africa,bri_member,Lower middle income,626.0,6.0,89.0,unknown,531.0,33.0,24.0,0.2,unknown,58.75,49.44,35.0,40.5,62.4,70.48
Costa Rica,Central America,Latin America and Caribbean,bri_member,Upper middle income,612.0,3.0,62.0,6868.0,547.0,14.0,120.0,0.6,1348.0,80.94,71.67,56.0,81.30000000000003,65.3,87.76
Ghana,Western Africa,Africa,bri_member,Lower middle income,566.0,8.0,4.0,37954.0,554.0,2.0,18.0,0.3,1221.0,64.94,49.96000000000001,41.0,66.3,57.5,79.19
Niger,Western Africa,Africa,bri_member,Low income,548.0,13.0,86.0,4399.0,449.0,2.0,23.0,0.5,182.0,63.62,46.28,32.0,32.9,51.6,70.74
Burkina Faso,Western Africa,Africa,non_member,,515.0,27.0,161.0,unknown,327.0,2.0,25.0,1.0,unknown,62.98,45.87,40.0,40.4,59.4,75.47
Uruguay,South America,Latin America and Caribbean,bri_member,High income,483.0,8.0,248.0,9236.0,227.0,15.0,139.0,2.0,2659.0,78.43,62.92999999999999,71.0,83.80000000000003,68.6,83.94
Albania,Southern Europe,Europe,bri_member,Upper middle income,475.0,24.0,248.0,4306.0,203.0,5.0,165.0,8.0,1496.0,78.96,47.19,35.0,58.9,66.5,70.16
Channel Islands,Northern Europe,Europe,non_member,,436.0,9.0,48.0,3320.0,379.0,5.0,2508.0,52.0,19095.0,83.6,,,,,
Kyrgyzstan,Central Asia,Asia,non_member,,430.0,5.0,71.0,26147.0,354.0,5.0,66.0,0.8,4008.0,71.95,52.61,30.0,48.9,,70.08
Honduras,Central America,Latin America and Caribbean,non_member,,407.0,26.0,7.0,1600.0,374.0,10.0,41.0,3.0,162.0,75.87,58.6,26.0,54.2,60.2,51.47
Taiwan,Eastern Asia,Asia,non_member,,393.0,6.0,124.0,48549.0,263.0,10.0,17.0,0.3,2038.0,81.04,64.46000000000001,65.0,77.30000000000003,77.3,75.02
Malta,Southern Europe,Europe,bri_member,High income,393.0,3.0,44.0,19121.0,346.0,4.0,890.0,7.0,43305.0,83.06,67.26,54.0,79.5,68.6,70.26
Jordan,Western Asian,Asia,non_member,,391.0,7.0,215.0,20500.0,169.0,5.0,38.0,0.7,2009.0,75.01,49.06,48.0,39.3,66.5,56.89
Réunion,Eastern Africa,Africa,non_member,,391.0,0.0,40.0,unknown,351.0,3.0,437.0,0.0,unknown,81.55,,,,,
Djibouti,Eastern Africa,Africa,bri_member,Lower middle income,363.0,2.0,53.0,5356.0,308.0,15.0,367.0,2.0,5421.0,67.87,,30.0,27.7,47.1,28.64
Guinea,Western Africa,Africa,bri_member,Low income,363.0,0.0,31.0,unknown,332.0,15.0,28.0,0.0,unknown,62.64,45.339999999999996,29.0,31.4,55.7,66.50999999999999
Bolivia,South America,Latin America and Caribbean,bri_member,Lower middle income,354.0,28.0,6.0,2185.0,320.0,3.0,30.0,2.0,187.0,72.35,57.79,31.0,48.4,42.3,64.62
Nigeria,Western Africa,Africa,bri_member,Lower middle income,343.0,10.0,91.0,5000.0,242.0,2.0,2.0,0.05,24.0,55.75,52.65,26.0,41.2,57.3,63.5
Mauritius,Eastern Africa,Africa,non_member,,324.0,9.0,51.0,7077.0,264.0,3.0,255.0,7.0,5565.0,75.51,58.879999999999995,52.0,82.2,73.0,71.53999999999998
Palestine,Western Asian,Asia,non_member,,308.0,2.0,62.0,17329.0,244.0,3.0,60.0,0.4,3397.0,74.62,,,38.9,,55.32
Senegal,Western Africa,Africa,bri_member,Low income,299.0,2.0,183.0,unknown,114.0,1.0,18.0,0.1,unknown,68.87,46.81,45.0,58.1,56.3,74.19
Georgia,Western Asian,Asia,bri_member,Lower middle income,296.0,3.0,68.0,3271.0,225.0,6.0,74.0,0.8,820.0,74.24,45.19,56.0,54.2,75.9,71.02
Montenegro,Southern Europe,Europe,bri_member,Upper middle income,278.0,4.0,5.0,2869.0,269.0,7.0,443.0,6.0,4568.0,77.39,55.23,45.0,56.5,60.5,67.25999999999999
Vietnam,South-Eastern Asia,Asia,bri_member,Lower middle income,266.0,0.0,169.0,121821.0,97.0,8.0,3.0,0.0,1252.0,75.77,51.75,37.0,30.8,55.3,25.069999999999997
DR Congo,Middle Africa,Africa,non_member,,241.0,20.0,20.0,unknown,201.0,13.0,3.0,0.2,unknown,61.6,44.18,18.0,11.3,50.3,48.29
Sri Lanka,Southern Asia,Asia,bri_member,Lower middle income,219.0,7.0,61.0,4525.0,151.0,1.0,10.0,0.3,211.0,77.56,43.660000000000004,38.0,62.7,56.4,60.39
Mayotte,Eastern Africa,Africa,non_member,,217.0,3.0,69.0,1500.0,145.0,3.0,795.0,11.0,5498.0,79.85,,,,,
Kenya,Eastern Africa,Africa,bri_member,Lower middle income,208.0,9.0,40.0,8123.0,159.0,2.0,4.0,0.2,151.0,67.47,45.089999999999996,28.0,51.8,55.1,67.56
Venezuela,South America,Latin America and Caribbean,bri_member,Upper middle income,189.0,9.0,110.0,203108.0,70.0,6.0,7.0,0.3,7143.0,72.34,47.07,16.0,28.8,25.9,50.9
Guatemala,Central America,Latin America and Caribbean,non_member,,167.0,5.0,19.0,1134.0,143.0,3.0,9.0,0.3,63.0,75.05,64.36,26.0,52.6,62.6,64.06
Paraguay,South America,Latin America and Caribbean,non_member,,159.0,7.0,22.0,3394.0,130.0,1.0,22.0,1.0,476.0,74.59,57.42999999999999,28.0,62.40000000000001,61.8,67.6
Martinique,Caribbean,Latin America and Caribbean,non_member,,157.0,6.0,50.0,unknown,101.0,19.0,418.0,16.0,unknown,83.13,,,,,
El Salvador,Central America,Latin America and Caribbean,bri_member,Lower middle income,149.0,6.0,25.0,7230.0,118.0,2.0,23.0,0.9,1115.0,74.06,62.529999999999994,34.0,61.5,61.8,70.19
Guadeloupe,Caribbean,Latin America and Caribbean,non_member,,145.0,8.0,67.0,unknown,70.0,13.0,362.0,20.0,unknown,82.74,,,,,
Brunei,South-Eastern Asia,Asia,bri_member,High income,136.0,1.0,107.0,10350.0,28.0,2.0,311.0,2.0,23658.0,76.35,,60.0,,65.1,48.52
Rwanda,Eastern Africa,Africa,bri_member,Low income,127.0,0.0,42.0,6237.0,85.0,1.0,10.0,0.0,482.0,70.0,33.339999999999996,53.0,31.6,71.1,47.57
Mali,Western Africa,Africa,bri_member,Low income,123.0,10.0,26.0,unknown,87.0,1.0,6.0,0.5,unknown,60.54,43.9,29.0,49.2,58.1,64.77000000000001
Cambodia,South-Eastern Asia,Asia,bri_member,Lower middle income,122.0,0.0,91.0,5768.0,31.0,1.0,7.0,0.0,345.0,70.54,47.0,20.0,35.3,57.8,54.1
Trinidad and Tobago,Caribbean,Latin America and Caribbean,bri_member,High income,113.0,8.0,17.0,1152.0,88.0,1.0,81.0,6.0,823.0,73.91,,40.0,71.6,57.0,75.26
Madagascar,Eastern Africa,Africa,bri_member,Low income,108.0,0.0,23.0,unknown,85.0,1.0,4.0,0.0,unknown,68.21,39.330000000000005,24.0,56.4,56.6,72.24
Aruba,Caribbean,Latin America and Caribbean,non_member,,92.0,0.0,32.0,1145.0,60.0,1.0,862.0,0.0,10724.0,76.79,,,,,
French Guiana,South America,Latin America and Caribbean,non_member,,86.0,0.0,51.0,unknown,35.0,1.0,288.0,0.0,unknown,80.53,,,,,
Ethiopia,Eastern Africa,Africa,bri_member,Low income,82.0,3.0,14.0,4557.0,65.0,1.0,0.7,0.03,40.0,67.81,42.86000000000001,37.0,34.4,53.6,64.89
Liechtenstein,Western Europe,Europe,non_member,,79.0,1.0,55.0,900.0,23.0,1.0,2072.0,26.0,23605.0,,,,,,79.51
Togo,Western Africa,Africa,bri_member,Low income,77.0,3.0,32.0,2806.0,42.0,1.0,9.0,0.4,339.0,62.13,40.85,29.0,33.0,50.3,70.31
Jamaica,Caribbean,Latin America and Caribbean,bri_member,Upper middle income,73.0,4.0,19.0,1199.0,50.0,1.0,25.0,1.0,405.0,74.88,58.9,43.0,69.6,68.6,88.87
Barbados,Caribbean,Latin America and Caribbean,bri_member,High income,72.0,4.0,13.0,839.0,55.0,4.0,251.0,14.0,2920.0,79.64,,62.0,,64.7,
Myanmar,South-Eastern Asia,Asia,bri_member,Lower middle income,63.0,4.0,2.0,2443.0,57.0,4.0,1.0,0.07,45.0,67.78,43.6,29.0,35.5,53.6,55.08
Congo,Middle Africa,Africa,bri_member,Lower middle income,60.0,5.0,5.0,unknown,50.0,4.0,11.0,0.9,unknown,65.21,48.120000000000005,19.0,31.1,39.7,63.96
Somalia,Eastern Africa,Africa,bri_member,Low income,60.0,2.0,2.0,unknown,56.0,2.0,4.0,0.1,unknown,58.34,46.68,9.0,,,42.76
Liberia,Western Africa,Africa,bri_member,Low income,59.0,6.0,4.0,unknown,49.0,2.0,12.0,1.0,unknown,65.0,39.75,28.0,54.5,49.7,68.51
Gabon,Middle Africa,Africa,bri_member,Upper middle income,57.0,1.0,1.0,unknown,55.0,3.0,26.0,0.4,unknown,67.03,47.989999999999995,31.0,36.1,56.3,64.4
French Polynesia,Polynesia,Oceania,non_member,,55.0,0.0,0.0,920.0,55.0,1.0,196.0,0.0,3275.0,78.23,,,,,
Uganda,Eastern Africa,Africa,bri_member,Low income,54.0,0.0,8.0,5664.0,46.0,3.0,1.0,0.0,124.0,64.38,41.89,28.0,50.2,59.7,60.58
Bahamas,Caribbean,Latin America and Caribbean,non_member,,49.0,8.0,6.0,unknown,35.0,1.0,125.0,20.0,unknown,74.28,,64.0,,62.9,
Tanzania,Eastern Africa,Africa,bri_member,Low income,49.0,3.0,7.0,unknown,39.0,1.0,0.8,0.05,unknown,66.39,32.31,37.0,51.6,60.2,63.72
Guyana,South America,Latin America and Caribbean,bri_member,Upper middle income,47.0,6.0,8.0,213.0,33.0,5.0,60.0,8.0,271.0,70.26,,40.0,61.5,56.8,73.37
Zambia,Eastern Africa,Africa,bri_member,Lower middle income,45.0,2.0,30.0,1653.0,13.0,1.0,2.0,0.1,90.0,64.7,41.07,34.0,50.9,53.6,63.62
Macao,Eastern Asia,Asia,non_member,,45.0,0.0,10.0,unknown,35.0,1.0,69.0,0.0,unknown,84.68,,,,71.0,
Haiti,Caribbean,Latin America and Caribbean,non_member,,40.0,3.0,0.0,365.0,37.0,1.0,4.0,0.3,32.0,64.99,35.97,18.0,45.7,52.7,71.0
Guinea-Bissau,Western Africa,Africa,non_member,,38.0,0.0,0.0,1500.0,38.0,1.0,19.0,0.0,762.0,59.38,,18.0,26.3,54.0,69.05
Benin,Western Africa,Africa,bri_member,Low income,35.0,1.0,5.0,unknown,29.0,1.0,3.0,0.08,unknown,62.84,48.83,41.0,50.9,55.3,68.26
Eritrea,Eastern Africa,Africa,non_member,,34.0,0.0,0.0,unknown,34.0,1.0,10.0,0.0,unknown,67.48,,23.0,23.700000000000006,38.9,19.739999999999995
Mongolia,Eastern Asia,Asia,bri_member,Lower middle income,30.0,0.0,5.0,1000.0,25.0,5.0,9.0,0.0,305.0,70.53,52.85,35.0,65.0,55.4,70.49
Sudan,Northern Africa,Africa,bri_member,Lower middle income,29.0,4.0,4.0,unknown,21.0,5.0,0.7,0.09,unknown,66.09,,16.0,27.0,47.7,27.55
Syria,Western Asian,Asia,non_member,,29.0,2.0,5.0,unknown,22.0,5.0,2.0,0.1,unknown,76.06,34.62,13.0,14.3,,28.22
Libya,Northern Africa,Africa,bri_member,Upper middle income,26.0,1.0,9.0,545.0,16.0,5.0,4.0,0.1,79.0,73.44,55.25,18.0,20.2,,44.23
