country,region
Guinea-Bissau,Western Africa
Cabo Verde,Western Africa
Ethiopia,Eastern Africa
Tanzania,Eastern Africa
Kenya,Eastern Africa
Uganda,Eastern Africa
Mozambique,Eastern Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
South Sudan,Eastern Africa
Rwanda,Eastern Africa
Burundi,Eastern Africa
Somalia,Eastern Africa
Eritrea,Eastern Africa
Mauritius,Eastern Africa
Djibouti,Eastern Africa
Réunion,Eastern Africa
Comoros,Eastern Africa
Mayotte,Eastern Africa
Seychelles,Eastern Africa
Egypt,Northern Africa
Sudan,Northern Africa
Algeria,Northern Africa
Morocco,Northern Africa
Tunisia,Northern Africa
Libya,Northern Africa
Western Sahara,Northern Africa
DRC,Middle Africa
Angola,Middle Africa
Cameroon,Middle Africa
Chad,Middle Africa
CAR,Middle Africa
Congo,Middle Africa
Gabon,Middle Africa
Equatorial Guinea,Middle Africa
Sao Tome and Principe,Middle Africa
South Africa,Southern Africa
Namibia,Southern Africa
Botswana,Southern Africa
Lesotho,Southern Africa
Swaziland,Southern Africa
USA,Northern America
Canada,Northern America
Bermuda,Northern America
Greenland,Northern America
Saint Pierre Miquelon,Northern America
Brazil,South America
Colombia,South America
Argentina,South America
Peru,South America
Venezuela,South America
Chile,South America
Ecuador,South America
Bolivia,South America
Paraguay,South America
Uruguay,South America
Guyana,South America
Suriname,South America
French Guiana,South America
Falkland Islands,South America
Mexico,Central America
Guatemala,Central America
Honduras,Central America
Nicaragua,Central America
El Salvador,Central America
Costa Rica,Central America
Panama,Central America
Belize,Central America
Cuba,Caribbean
Haiti,Caribbean
Dominican Republic,Caribbean
Puerto Rico,Caribbean
Jamaica,Caribbean
Trinidad and Tobago,Caribbean
Guadeloupe,Caribbean
Martinique,Caribbean
Bahamas,Caribbean
Barbados,Caribbean
Saint Lucia,Caribbean
Curaçao,Caribbean
St. Vincent Grenadines,Caribbean
Grenada,Caribbean
United States Virgin Islands,Caribbean
Aruba,Caribbean
Antigua and Barbuda,Caribbean
Dominica,Caribbean
Cayman Islands,Caribbean
Saint Kitts and Nevis,Caribbean
Sint Maarten,Caribbean
Saint Martin,Caribbean
Turks and Caicos,Caribbean
British Virgin Islands,Caribbean
Caribbean Netherlands,Caribbean
Anguilla,Caribbean
Montserrat,Caribbean
St. Barth,Caribbean
Australia,Australia & New Zealand
New Zealand,Australia & New Zealand
Papua New Guinea,Melanesia
Fiji,Melanesia
Solomon Islands,Melanesia
Vanuatu,Melanesia
New Caledonia,Melanesia
French Polynesia,Polynesia
Samoa,Polynesia
Tonga,Polynesia
American Samoa,Polynesia
Cook Islands,Polynesia
Wallis and Futuna Islands,Polynesia
Tuvalu,Polynesia
Niue,Polynesia
Tokelau,Polynesia
Guam,Micronesia
Kiribati,Micronesia
Micronesia,Micronesia
Northern Mariana Islands,Micronesia
Marshall Islands,Micronesia
Palau,Micronesia
Nauru,Micronesia
