Country,Total_cases,Total_deaths,Total_recovered,Total_tests,Cases/1m,Deaths/1m,Tests/1m
Guatemala,763,19,79,"7,200",43,1,402
Costa Rica,755,6,413,"14,121",148,1,"2,772"
Andorra,751,46,514,"1,673","9,720",595,"21,653"
Lebanon,750,25,206,"44,701",110,4,"6,549"
Mayotte,739,9,352,"3,400","2,709",33,"12,463"
Diamond Princess,712,13,645,,,,
Burkina Faso,688,48,548,,33,2,
Uruguay,670,17,468,"23,811",193,5,"6,855"
El Salvador,633,14,219,"33,628",98,2,"5,185"
Mali,612,32,228,"2,172",30,2,107
Georgia,610,9,269,"20,579",153,2,"5,159"
San Marino,589,41,92,"2,538","17,359","1,208","74,799"
Maldives,573,2,20,"9,863","1,060",4,"18,246"
Channel Islands,545,40,406,"5,342","3,135",230,"30,725"
Kenya,535,24,182,"25,861",10,0.4,481
Malta,482,5,403,"36,945","1,092",11,"83,672"
Tanzania,480,16,167,,8,0.3,
Guinea-Bissau,475,2,24,"1,500",241,1,762
Jamaica,473,9,56,"5,993",160,3,"2,024"
Jordan,471,9,375,"91,666",46,0.9,"8,984"
Taiwan,439,6,339,"65,589",18,0.3,"2,754"
Paraguay,431,10,135,"11,913",60,1,"1,670"
Réunion,425,,300,"17,200",475,,"19,211"
Gabon,397,6,93,724,178,3,325
Palestine,371,2,127,"32,200",73,0.4,"6,312"
Venezuela,367,10,164,"490,851",13,0.4,"17,262"
Mauritius,332,10,319,"18,959",261,8,"14,908"
Isle of Man,326,23,271,"3,459","3,834",270,"40,678"
Montenegro,324,8,261,"7,816",516,13,"12,445"
Equatorial Guinea,315,3,13,854,225,2,609
Tajikistan,293,5,,,31,0.5,
Vietnam,271,,232,"261,004",3,,"2,681"
Rwanda,261,,129,"35,992",20,,"2,779"
Congo,236,10,26,,43,2,
Sierra Leone,199,11,43,,25,1,
Faeroe Islands,187,,185,"8,241","3,827",,"168,655"
Cabo Verde,186,2,37,791,335,4,"1,423"
Martinique,182,14,83,,485,37,
Sao Tome and Principe,174,3,4,175,794,14,799
Liberia,170,20,58,,34,4,
Chad,170,17,43,,10,1,
Ethiopia,162,4,93,"26,517",1,0.03,231
Myanmar,161,6,49,"9,037",3,0.1,166
Guadeloupe,152,13,104,,380,32,
Madagascar,151,,101,"3,861",5,,139
Gibraltar,144,,133,"2,931","4,274",,"86,997"
Zambia,139,4,92,"7,277",8,0.2,396
Brunei,139,1,131,"14,754",318,2,"33,725"
French Guiana,138,1,111,,462,3,
Togo,128,9,74,"7,896",15,1,954
Cambodia,122,,120,"12,611",7,,754
Eswatini,119,1,12,714,103,0.9,615
Trinidad and Tobago,116,8,103,"2,080",83,6,"1,486"
Bermuda,115,7,54,"3,374","1,847",112,"54,176"
Haiti,101,12,10,"1,037",9,1,91
Aruba,101,2,82,"1,780",946,19,"16,672"
Nepal,99,,22,"64,492",3,,"2,213"
Uganda,98,,55,"44,110",2,,964
Benin,96,2,50,,8,0.2,
Monaco,95,4,81,,"2,421",102,
Guyana,93,10,27,680,118,13,865
Bahamas,89,11,26,"1,485",226,28,"3,776"
CAR,85,,10,"3,498",18,,724
Barbados,82,7,47,"2,549",285,24,"8,870"
Liechtenstein,82,1,55,900,"2,151",26,"23,605"
Mozambique,81,,19,"2,867",3,,92
Cayman Islands,78,1,30,"2,752","1,187",15,"41,873"
Sint Maarten,76,14,44,329,"1,773",327,"7,673"
Libya,63,3,24,"2,338",9,0.4,340
French Polynesia,60,,54,"2,697",214,,"9,601"
South Sudan,52,,,"1,247",5,,111
Macao,45,,39,,69,,
Syria,44,3,27,,3,0.2,
Malawi,41,3,9,907,2,0.2,47
Mongolia,41,,13,"8,946",13,,"2,729"
Eritrea,39,,30,,11,,
Saint Martin,38,3,29,,983,78,
Angola,36,2,11,"3,000",1,0.06,91
Zimbabwe,34,4,5,"7,642",2,0.3,514
Antigua and Barbuda,25,3,16,153,255,31,"1,562"
Timor-Leste,24,,20,664,18,,504
Botswana,23,1,8,"8,636",10,0.4,"3,672"
Yemen,22,4,1,120,0.7,0.1,4
Grenada,21,,13,"1,406",187,,"12,495"
Laos,19,,9,"2,505",3,,344
Belize,18,2,16,"1,043",45,5,"2,623"
Fiji,18,,14,"1,300",20,,"1,450"
New Caledonia,18,,17,"5,052",63,,"17,695"
Saint Lucia,18,,15,446,98,,"2,429"
Gambia,17,1,9,562,7,0.4,233
St. Vincent Grenadines,17,,9,137,153,,"1,235"
Nicaragua,16,5,7,,2,0.8,
Curaçao,16,1,13,374,98,6,"2,279"
Dominica,16,,14,416,222,,"5,779"
Namibia,16,,8,"1,122",6,,442
Burundi,15,1,7,284,1,0.08,24
Saint Kitts and Nevis,15,,12,318,282,,"5,978"
Falkland Islands,13,,13,388,"3,736",,"111,494"
Turks and Caicos,12,1,6,107,310,26,"2,764"
Montserrat,11,1,7,36,"2,204",200,"7,212"
Greenland,11,,11,"1,332",194,,"23,463"
Vatican City,11,,2,,"13,733",,
Seychelles,11,,8,,112,,
Suriname,10,1,9,404,17,2,689
MS Zaandam,9,2,,,,,
Mauritania,8,1,6,"1,032",2,0.2,222
Papua New Guinea,8,,8,"2,402",0.9,,268
Bhutan,7,,5,"11,373",9,,"14,739"
British Virgin Islands,6,1,3,,198,33,
Caribbean Netherlands,6,,,110,229,,"4,195"
St. Barth,6,,6,,607,,
Western Sahara,6,,5,,10,,
Anguilla,3,,3,,200,,
Comoros,3,,,,3,,
Saint Pierre Miquelon,1,,,,173,,
